f0_,a_stn,a_wban,lat,lon,elev,year,mo,da,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
61,747806,63809,32.955,-84.264,+0242.6,2015,09,29,75.5,75.4,984.0,8.8,2.5,6.0,78.8,73.4,99.99,999.9,0,1,0,0,0,0
62,747807,03821,33.017,-85.067,+0207.9,2015,09,29,77.1,76.8,987.0,8.8,0.3,4.1,81.5,70.7,99.99,999.9,0,1,0,0,0,0
63,747809,03832,33.983,-83.668,+0287.4,2015,06,17,88.2,73.3,986.3,10.0,1.9,7.0,96.8,77.0,99.99,999.9,0,1,0,0,1,0
64,720301,63846,32.646,-81.596,+0057.3,2015,06,25,81.1,76.5,1011.7,9.5,3.2,13.0,98.1,74.5,99.99,999.9,0,1,0,0,1,0
65,747806,63809,32.955,-84.264,+0242.6,2015,12,30,68.9,68.9,992.1,6.9,4.2,17.1,71.6,66.2,99.99,999.9,0,1,0,0,1,0
66,747810,13857,30.967,-83.2,+0071.0,2015,06,29,78.5,68.9,1007.2,8.9,4.5,8.0,87.4,71.6,99.99,999.9,1,1,0,0,0,0
67,720268,53882,30.983,-84.633,+0043.0,2015,10,03,65.9,60.3,999.4,9.9,6.4,11.1,71.6,60.8,99.99,999.9,0,1,0,0,0,0
68,720268,53882,30.983,-84.633,+0043.0,2015,12,30,73.2,69.6,1015.7,9.1,4.9,12.0,78.8,71.6,99.99,999.9,0,1,0,0,0,0
69,720294,53898,33.78,-82.816,+0196.6,2015,12,30,68.5,68.5,997.2,7.3,2.1,8.9,71.6,66.2,99.99,999.9,0,1,0,0,1,0
70,720348,63886,33.154,-83.241,+0117.0,2015,12,30,69.5,67.1,1006.8,7.7,0.3,4.1,75.2,66.2,99.99,999.9,0,1,0,0,1,0
71,722130,13861,31.25,-82.4,+0043.3,2015,12,30,77.1,73.7,1016.5,9.0,5.4,12.0,86.2,72.3,99.99,999.9,0,1,0,0,0,0
72,722217,63881,32.564,-82.985,+0094.2,2015,10,03,56.1,54.9,993.6,7.7,5.3,8.9,60.8,51.8,99.99,999.9,0,1,0,0,0,0
73,747804,13824,32.017,-81.133,+0012.5,2015,11,05,71.8,71.8,1021.2,8.0,5.0,7.0,75.2,69.3,99.99,999.9,0,1,0,0,0,0
74,747805,63818,32.483,-81.737,+0057.0,2015,01,04,67.5,67.5,1013.8,8.7,5.7,14.0,72.0,54.0,99.99,999.9,0,1,0,0,0,0
75,747805,63818,32.483,-81.737,+0057.0,2015,01,12,47.4,45.6,1018.9,6.7,3.3,7.0,56.3,37.8,99.99,999.9,1,1,0,0,0,0
76,747805,63818,32.483,-81.737,+0057.0,2015,01,13,51.6,51.6,1015.5,2.3,1.3,6.0,56.3,42.6,99.99,999.9,1,1,0,0,0,0
77,747805,63818,32.483,-81.737,+0057.0,2015,02,26,41.3,39.5,1001.8,7.1,6.8,11.1,51.4,36.7,99.99,999.9,0,1,1,0,0,0
78,747805,63818,32.483,-81.737,+0057.0,2015,03,04,68.6,62.0,1011.7,7.9,5.5,15.0,82.6,55.4,99.99,999.9,0,1,0,0,0,0
79,747805,63818,32.483,-81.737,+0057.0,2015,03,25,66.5,62.0,1013.1,9.2,3.7,8.9,78.3,53.1,99.99,999.9,0,1,0,0,0,0
80,747805,63818,32.483,-81.737,+0057.0,2015,03,30,51.4,42.8,1016.8,10.0,6.0,15.0,68.7,34.2,99.99,999.9,0,1,0,0,0,0
81,747805,63818,32.483,-81.737,+0057.0,2015,04,11,71.7,66.9,1011.1,10.0,2.4,11.1,86.5,64.8,99.99,999.9,0,1,0,0,0,0
82,747805,63818,32.483,-81.737,+0057.0,2015,04,28,61.7,50.3,1005.7,10.0,3.2,11.1,72.9,54.5,99.99,999.9,0,1,0,0,0,0
83,747805,63818,32.483,-81.737,+0057.0,2015,05,30,75.2,70.7,1014.0,9.4,3.1,11.1,88.7,60.1,99.99,999.9,0,1,0,0,1,0
84,747805,63818,32.483,-81.737,+0057.0,2015,06,03,71.9,70.8,1007.8,9.1,2.3,9.9,86.0,66.9,99.99,999.9,0,1,0,0,1,0
85,747805,63818,32.483,-81.737,+0057.0,2015,06,06,78.2,71.9,1007.1,10.0,2.1,8.0,90.0,66.6,99.99,999.9,0,1,0,0,1,0
86,747805,63818,32.483,-81.737,+0057.0,2015,06,24,82.0,75.9,1011.8,10.0,4.6,12.0,95.7,72.7,99.99,999.9,0,1,0,0,0,0
87,747805,63818,32.483,-81.737,+0057.0,2015,06,25,81.4,76.2,1011.3,10.0,3.5,17.1,95.7,72.7,99.99,999.9,0,1,0,0,1,0
88,747805,63818,32.483,-81.737,+0057.0,2015,06,27,82.0,75.8,1007.0,10.0,6.9,13.0,95.5,73.8,99.99,999.9,0,1,0,0,0,0
89,747805,63818,32.483,-81.737,+0057.0,2015,07,19,82.0,78.3,1008.6,9.9,3.0,12.0,95.2,72.0,99.99,999.9,0,1,0,0,1,0
90,747805,63818,32.483,-81.737,+0057.0,2015,08,10,78.9,75.3,1009.1,9.9,2.2,6.0,93.0,71.2,99.99,999.9,0,1,0,0,0,0
91,747805,63818,32.483,-81.737,+0057.0,2015,08,20,79.5,76.9,1009.0,9.4,3.2,19.0,92.1,72.5,99.99,999.9,0,1,0,0,1,0
92,747805,63818,32.483,-81.737,+0057.0,2015,12,03,54.3,41.8,1011.6,10.0,5.2,9.9,67.1,49.1,99.99,999.9,0,1,0,0,0,0
93,747805,63818,32.483,-81.737,+0057.0,2015,12,17,70.2,68.3,1005.1,8.0,4.1,9.9,77.0,62.6,99.99,999.9,1,1,0,0,0,0
94,747806,63809,32.955,-84.264,+0242.6,2015,01,12,43.5,42.7,997.0,2.1,3.1,8.0,50.0,41.0,99.99,999.9,1,1,0,0,0,0
95,747806,63809,32.955,-84.264,+0242.6,2015,02,04,41.5,31.2,995.8,10.0,0.9,5.1,50.0,33.8,99.99,999.9,0,1,0,0,0,0
96,747806,63809,32.955,-84.264,+0242.6,2015,02,23,51.9,48.3,993.3,7.8,5.4,12.0,60.8,44.6,99.99,999.9,0,1,0,0,0,0
97,747806,63809,32.955,-84.264,+0242.6,2015,02,24,40.9,36.4,991.2,7.1,3.0,7.0,48.2,37.4,99.99,999.9,0,1,0,0,0,0
98,747806,63809,32.955,-84.264,+0242.6,2015,02,25,37.3,34.7,985.1,6.8,1.8,9.9,42.8,33.8,99.99,999.9,0,1,1,0,1,0
99,747806,63809,32.955,-84.264,+0242.6,2015,03,11,67.7,62.1,992.2,7.4,4.2,11.1,78.8,55.4,99.99,999.9,1,1,0,0,0,0
100,747806,63809,32.955,-84.264,+0242.6,2015,03,13,55.2,51.6,997.5,8.6,9.3,14.0,64.4,46.4,99.99,999.9,0,1,0,0,0,0
101,747806,63809,32.955,-84.264,+0242.6,2015,03,20,56.8,54.4,991.0,4.8,3.3,8.9,71.6,51.8,99.99,999.9,1,1,0,0,0,0
102,747806,63809,32.955,-84.264,+0242.6,2015,03,31,61.3,50.5,989.9,10.0,3.1,14.0,77.0,44.6,99.99,999.9,0,1,0,0,1,0
103,747806,63809,32.955,-84.264,+0242.6,2015,04,19,70.2,68.5,983.0,7.0,5.2,15.0,73.4,68.0,99.99,999.9,0,1,0,0,1,0
104,747806,63809,32.955,-84.264,+0242.6,2015,05,19,76.9,71.5,990.8,8.7,2.6,9.9,87.8,68.0,99.99,999.9,1,1,0,0,0,0
105,747806,63809,32.955,-84.264,+0242.6,2015,05,25,75.5,67.4,995.4,10.0,5.9,12.0,84.2,68.0,99.99,999.9,0,1,0,0,1,0
106,747806,63809,32.955,-84.264,+0242.6,2015,06,08,80.1,72.7,989.1,10.0,4.8,14.0,89.6,71.6,99.99,999.9,0,1,0,0,1,0
107,747806,63809,32.955,-84.264,+0242.6,2015,06,11,76.4,72.8,987.0,9.2,2.9,8.0,86.0,69.8,99.99,999.9,0,1,0,0,1,0
108,747806,63809,32.955,-84.264,+0242.6,2015,06,18,84.2,75.1,990.5,10.0,2.2,13.0,96.8,77.0,99.99,999.9,0,1,0,0,1,0
109,747806,63809,32.955,-84.264,+0242.6,2015,08,05,84.3,75.4,988.4,10.0,3.8,11.1,95.0,73.4,99.99,999.9,0,1,0,0,1,0
110,747806,63809,32.955,-84.264,+0242.6,2015,08,06,82.0,76.2,986.8,9.5,6.0,14.0,93.2,73.4,99.99,999.9,0,1,0,0,1,0
111,747806,63809,32.955,-84.264,+0242.6,2015,08,20,81.0,77.0,987.8,8.5,3.5,11.1,89.6,75.2,99.99,999.9,1,1,0,0,0,0
112,747806,63809,32.955,-84.264,+0242.6,2015,09,03,80.2,76.6,987.4,9.6,1.4,5.1,89.6,75.2,99.99,999.9,0,1,0,0,1,0
113,747806,63809,32.955,-84.264,+0242.6,2015,09,08,77.2,74.8,988.4,8.8,4.3,8.9,87.8,73.4,99.99,999.9,0,1,0,0,1,0
114,747806,63809,32.955,-84.264,+0242.6,2015,09,10,76.3,74.3,985.6,7.0,3.0,9.9,86.0,71.6,99.99,999.9,1,1,0,0,1,0
115,747806,63809,32.955,-84.264,+0242.6,2015,09,26,70.3,68.6,987.8,8.6,1.7,6.0,80.6,64.4,99.99,999.9,0,1,0,0,0,0
116,747806,63809,32.955,-84.264,+0242.6,2015,10,26,68.4,68.2,991.1,9.1,7.4,15.9,71.6,60.8,99.99,999.9,0,1,0,0,0,0
117,747806,63809,32.955,-84.264,+0242.6,2015,10,27,57.4,57.4,990.4,6.2,11.1,17.1,60.8,53.6,99.99,999.9,0,1,0,0,0,0
118,747806,63809,32.955,-84.264,+0242.6,2015,11,01,64.0,63.5,986.7,7.4,5.0,11.1,66.2,62.6,99.99,999.9,0,1,0,0,0,0
119,747806,63809,32.955,-84.264,+0242.6,2015,11,10,56.7,55.2,990.6,7.1,3.1,8.9,68.0,53.6,99.99,999.9,0,1,0,0,0,0
120,747806,63809,32.955,-84.264,+0242.6,2015,11,18,67.8,66.3,989.1,6.7,9.9,14.0,77.0,62.6,99.99,999.9,0,1,0,0,0,0
121,747806,63809,32.955,-84.264,+0242.6,2015,12,23,63.4,63.4,985.3,6.0,4.2,11.1,64.4,62.6,99.99,999.9,1,1,0,0,1,0
122,747806,63809,32.955,-84.264,+0242.6,2015,12,27,70.3,70.0,991.9,6.1,4.6,7.0,77.0,66.2,99.99,999.9,1,1,0,0,0,0
123,747806,63809,32.955,-84.264,+0242.6,2015,12,28,70.5,69.4,986.6,9.8,7.2,15.9,77.0,66.2,99.99,999.9,0,1,0,0,0,0
124,747807,03821,33.017,-85.067,+0207.9,2015,01,03,56.9,56.1,997.5,6.1,2.7,8.9,66.6,47.5,99.99,999.9,0,1,0,0,0,0
125,747807,03821,33.017,-85.067,+0207.9,2015,01,15,39.3,38.2,997.1,6.4,0.1,2.9,48.0,33.8,99.99,999.9,1,1,0,0,0,0
126,747807,03821,33.017,-85.067,+0207.9,2015,01,23,51.2,45.8,992.8,8.0,4.3,13.0,60.4,34.3,99.99,999.9,0,1,0,0,0,0
127,747807,03821,33.017,-85.067,+0207.9,2015,01,24,47.9,40.8,986.1,7.6,8.7,15.9,54.0,42.8,99.99,999.9,0,1,0,0,0,0
128,747807,03821,33.017,-85.067,+0207.9,2015,02,09,61.5,56.4,986.5,9.0,4.8,13.0,69.1,53.8,99.99,999.9,0,1,0,0,1,0
129,747807,03821,33.017,-85.067,+0207.9,2015,02,16,44.6,23.6,993.7,10.0,5.3,12.0,57.6,32.0,99.99,999.9,0,1,0,0,0,0
130,747807,03821,33.017,-85.067,+0207.9,2015,02,17,44.2,38.3,986.4,9.3,8.6,17.1,60.3,33.8,99.99,999.9,0,1,0,0,0,0
131,747807,03821,33.017,-85.067,+0207.9,2015,03,09,60.4,43.4,997.2,10.0,1.4,8.0,70.7,52.9,99.99,999.9,0,1,0,0,0,0
132,747807,03821,33.017,-85.067,+0207.9,2015,03,14,58.1,55.7,994.2,6.8,3.5,9.9,75.9,50.9,99.99,999.9,1,1,0,0,0,0
133,747807,03821,33.017,-85.067,+0207.9,2015,03,22,60.0,56.4,992.3,9.3,1.7,6.0,75.9,56.8,99.99,999.9,0,1,0,0,0,0
134,747807,03821,33.017,-85.067,+0207.9,2015,03,27,60.4,50.6,985.1,9.4,8.0,18.1,77.2,50.9,99.99,999.9,0,1,0,0,1,0
135,747807,03821,33.017,-85.067,+0207.9,2015,04,12,63.7,56.5,995.0,9.6,1.3,7.0,82.9,50.4,99.99,999.9,0,1,0,0,0,0
136,747807,03821,33.017,-85.067,+0207.9,2015,04,16,64.0,61.4,996.2,10.0,4.1,8.9,81.7,59.7,99.99,999.9,0,1,0,0,0,0
137,747807,03821,33.017,-85.067,+0207.9,2015,04,17,61.5,60.6,994.8,8.3,2.3,5.1,66.6,59.4,99.99,999.9,0,1,0,0,0,0
138,747807,03821,33.017,-85.067,+0207.9,2015,05,26,75.7,73.6,996.9,9.4,4.4,12.0,90.1,70.2,99.99,999.9,0,1,0,0,1,0
139,747807,03821,33.017,-85.067,+0207.9,2015,05,28,74.5,72.7,996.5,9.3,3.1,12.0,86.9,68.5,99.99,999.9,0,1,0,0,1,0
140,747807,03821,33.017,-85.067,+0207.9,2015,06,03,76.5,70.5,989.2,9.6,2.2,9.9,88.9,64.8,99.99,999.9,0,1,0,0,1,0
141,747807,03821,33.017,-85.067,+0207.9,2015,06,12,78.5,75.6,993.2,10.0,3.8,18.1,91.6,71.6,99.99,999.9,0,1,0,0,0,0
142,747807,03821,33.017,-85.067,+0207.9,2015,06,19,82.3,76.6,993.5,9.1,2.9,8.9,96.4,71.8,99.99,999.9,0,1,0,0,0,0
143,747807,03821,33.017,-85.067,+0207.9,2015,06,26,84.0,78.4,991.3,9.4,2.8,8.9,94.8,72.0,99.99,999.9,0,1,0,0,1,0
144,747807,03821,33.017,-85.067,+0207.9,2015,07,21,88.7,79.6,987.2,9.8,4.2,13.0,100.6,73.6,99.99,999.9,0,1,0,0,0,0
145,747807,03821,33.017,-85.067,+0207.9,2015,07,29,83.6,78.5,990.4,9.3,2.2,9.9,98.6,75.2,99.99,999.9,0,1,0,0,1,0
146,747807,03821,33.017,-85.067,+0207.9,2015,08,05,84.9,75.4,991.5,9.5,3.3,9.9,101.7,71.6,99.99,999.9,0,1,0,0,1,0
147,747807,03821,33.017,-85.067,+0207.9,2015,08,07,83.0,77.8,986.9,9.2,5.6,14.0,94.1,76.5,99.99,999.9,0,1,0,0,1,0
148,747807,03821,33.017,-85.067,+0207.9,2015,08,12,81.2,72.2,990.7,8.3,2.9,11.1,93.7,70.7,99.99,999.9,0,1,0,0,0,0
149,747807,03821,33.017,-85.067,+0207.9,2015,08,31,77.5,74.7,993.7,8.7,1.7,5.1,87.4,73.0,99.99,999.9,0,1,0,0,0,0
150,747807,03821,33.017,-85.067,+0207.9,2015,09,28,72.9,72.7,990.8,9.7,2.8,7.0,77.2,70.7,99.99,999.9,0,1,0,0,0,0
151,747807,03821,33.017,-85.067,+0207.9,2015,10,04,66.3,65.6,982.3,8.5,5.6,8.9,75.2,62.1,99.99,999.9,0,1,0,0,0,0
152,747807,03821,33.017,-85.067,+0207.9,2015,10,28,70.1,67.0,985.4,9.4,5.6,12.0,81.1,57.2,99.99,999.9,0,1,0,0,0,0
153,747807,03821,33.017,-85.067,+0207.9,2015,11,06,76.3,75.2,996.1,7.5,2.9,7.0,85.3,70.2,99.99,999.9,0,1,0,0,0,0
154,747807,03821,33.017,-85.067,+0207.9,2015,12,02,65.2,62.6,988.6,9.6,5.3,13.0,75.0,55.4,99.99,999.9,0,1,0,0,0,0
155,747807,03821,33.017,-85.067,+0207.9,2015,12,17,63.5,62.9,985.4,8.5,2.8,9.9,69.4,59.0,99.99,999.9,0,1,0,0,0,0
156,747807,03821,33.017,-85.067,+0207.9,2015,12,23,65.5,65.5,987.6,8.7,5.5,11.1,69.8,62.1,99.99,999.9,0,1,0,0,1,0
157,747807,03821,33.017,-85.067,+0207.9,2015,12,27,71.0,70.6,994.5,7.7,3.1,8.0,79.3,63.3,99.99,999.9,1,1,0,0,0,0
158,747809,03832,33.983,-83.668,+0287.4,2015,02,01,46.2,36.7,988.1,10.0,1.2,7.0,59.0,33.8,99.99,999.9,0,1,0,0,0,0
159,747809,03832,33.983,-83.668,+0287.4,2015,03,19,54.6,45.6,986.5,6.9,3.9,9.9,64.4,46.4,99.99,999.9,0,1,0,0,0,0
160,747809,03832,33.983,-83.668,+0287.4,2015,04,02,63.1,54.6,988.3,9.3,2.7,14.0,75.2,59.0,99.99,999.9,0,1,0,0,1,0
161,747809,03832,33.983,-83.668,+0287.4,2015,04,03,65.7,55.9,986.1,6.3,3.3,12.0,86.0,53.6,99.99,999.9,1,1,0,0,0,0
162,747809,03832,33.983,-83.668,+0287.4,2015,04,17,58.0,57.7,987.6,5.7,1.4,5.1,62.6,55.4,99.99,999.9,0,1,0,0,0,0
163,747809,03832,33.983,-83.668,+0287.4,2015,05,25,73.0,64.2,991.7,10.0,2.8,8.0,82.4,62.6,99.99,999.9,0,1,0,0,0,0
164,747809,03832,33.983,-83.668,+0287.4,2015,05,26,73.9,71.2,990.2,9.7,2.1,14.0,84.2,68.0,99.99,999.9,0,1,0,0,1,0
165,747809,03832,33.983,-83.668,+0287.4,2015,05,27,72.0,68.5,990.3,9.1,0.2,4.1,82.4,68.0,99.99,999.9,0,1,0,0,0,0
166,747809,03832,33.983,-83.668,+0287.4,2015,06,03,71.2,66.7,982.2,9.8,2.7,8.9,80.6,64.4,99.99,999.9,0,1,0,0,1,0
167,747809,03832,33.983,-83.668,+0287.4,2015,06,20,81.9,73.1,984.0,10.0,4.8,12.0,91.4,75.2,99.99,999.9,0,1,0,0,1,0
